Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0259524-0000067,2020-02-09 06:00:00,40.221,25.218,Aegean Sea,0.0,Manta net,0.333,0.526667,pieces/m3,Medium,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",2020,2,Winter,0.42308692779857143
0270528-0000048,2019-06-24 05:00:00,43.2465,5.2947,Western Basin,0.0,Manta net,0.33,0.025063,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",2019,6,Summer,0.02475407411620737
0276422-0000100,2014-04-06 05:00:00,42.772167,4.923167,Western Basin,0.0,Manta net,0.33,0.210334,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2014,4,Spring,0.1908963545763857
0260245-0000057,2014-04-22 05:00:00,32.504167,34.885,Eastern Basin,0.1,Manta net,0.333,2.647504,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,4,Spring,1.2940430980557376
0253450-0000009,2013-05-12 05:00:00,41.824833,19.21,Adriatic Sea,0.0,Neuston net,0.2,0.783476,pieces/m3,Medium,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,5,Spring,0.5785642690399762
0314559-0000022,2012-02-08 06:00:00,42.5855,8.7295,Western Basin,0.2,Plankton net,0.2,0.0,pieces/m3,Very Low,Collignon et al. 2014,https://doi.org/10.1016/j.marpolbul.2013.11.023,"University of Liège, Belgium",2012,2,Winter,0.0
0270528-0000026,2019-04-02 05:00:00,44.230539,9.106589,Ligurian Sea,0.0,Manta net,0.1,0.413022,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",2019,4,Spring,0.3457306732910209
0276422-0000874,2022-07-24 05:00:00,42.576668,3.965667,Western Basin,0.0,Manta net,0.33,0.152747,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,7,Summer,0.1421477896289427
0276422-0000857,2022-07-26 05:00:00,43.334999,6.801667,Western Basin,0.0,Manta net,0.33,4.105328,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,7,Summer,1.6302847002872127
0276422-0001007,2023-07-11 05:00:00,43.8685,8.040667,Ligurian Sea,0.0,Manta net,0.33,0.353601,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2023,7,Summer,0.30276844864023444
